"","0","1-3","4-6","7-9","10-12","13-15","16-18","19-21","22-24","25-27","28-30","31-33","34-36","37-39","40-42","43-45","46-48","49-51","52-54","55-57","58-60","61-63","64-66","67-69","70-72","73-75","76-78","79-81","82-84","85-87","88-90","91-93","94-96","97-99","100+"
"2002",-5.80544912293458,-6.68707854479849,-8.73564159010406,-8.98380211426795,-9.34618076082875,-9.07980213627607,-8.25583248944876,-7.83821269358088,-7.70884119380054,-7.70571087476856,-7.62275866005042,-7.4505976704844,-7.25914172488917,-7.04532960394887,-6.80221244827344,-6.55136492328944,-6.27354298552492,-5.97281823675089,-5.68796376054428,-5.45981428163041,-5.20476885082065,-5.00210600601822,-4.74678559461295,-4.45390404986228,-4.15492121130094,-3.87031975953623,-3.57632372078244,-3.27188443932042,-2.93218989998972,-2.56922911529583,-2.23672593564979,-1.90768062166809,-1.61998272883508,-1.34254552214354,-1.03179305129356
"2003",-5.81774580843081,-6.73435057773539,-8.71891816048207,-9.10577976077636,-9.31408016320472,-9.0413502358544,-8.30083249892967,-7.85975852923652,-7.7419467995762,-7.63863463497892,-7.54066347764273,-7.42149899798287,-7.23561195485609,-7.04123295115548,-6.78826024118367,-6.53058252692817,-6.25810937609447,-5.9819075615899,-5.68801901152447,-5.43607449029234,-5.22539920856578,-5.00488430081146,-4.76130186590302,-4.48739949471532,-4.17203468402102,-3.87436321592389,-3.58814606726234,-3.28121505064237,-2.93362337459425,-2.58097609265403,-2.23523303367258,-1.91320259478552,-1.60147157135468,-1.3361529019533,-1.04036249111431
"2004",-5.87172908253436,-6.77081719224192,-8.79746226211852,-9.14348232905357,-9.44710577615086,-9.10725092784726,-8.381525004197,-7.89259561744921,-7.73384925263862,-7.68346461826393,-7.58295619653282,-7.44008077013433,-7.25365731197621,-7.04010921860676,-6.81334736690895,-6.56330265549249,-6.27207635436601,-6.00964956904143,-5.71772736362213,-5.46408756854593,-5.2440315119411,-5.00571304923349,-4.79502087029345,-4.50645851098706,-4.20999848210324,-3.90924630920871,-3.60473440218182,-3.28924082344728,-2.97546880419827,-2.61415689007894,-2.26793702494963,-1.93949121670207,-1.63414183943885,-1.3483799786874,-1.02898075191329
"2005",-5.89142573279375,-6.78824534824208,-8.7856789611627,-9.0280007868507,-9.43722988087853,-9.10459339276205,-8.45214732005608,-7.87716991689416,-7.66302339248733,-7.60496587254532,-7.56660228101966,-7.45763275733202,-7.23940552464197,-7.05881721973268,-6.80925229557651,-6.56651230983008,-6.28058655255984,-6.01832827366746,-5.732089953421,-5.46578937134415,-5.24531870495754,-5.00057135608746,-4.77933753414395,-4.53364270251162,-4.21207634158555,-3.89580621233918,-3.59480915570957,-3.27293948173398,-2.94573871622264,-2.60129522667541,-2.23630894912996,-1.9139929082527,-1.59312722580723,-1.30447292057592,-0.9965536098315
"2006",-5.91347564806392,-6.80378377641233,-8.79457285662015,-9.16469878636745,-9.43945899469143,-9.1483218144229,-8.43353334747553,-7.85840005748771,-7.74021490960636,-7.65225518522692,-7.55829802257178,-7.49737195510431,-7.30890122345532,-7.10538370220398,-6.8450001162885,-6.58256272140028,-6.30043520012788,-6.04107427698847,-5.76993534101403,-5.51429398144088,-5.26461996557103,-5.03911251640089,-4.8091743469748,-4.55939855501342,-4.27360816677281,-3.94405261133646,-3.61744056160969,-3.30012498008412,-2.97738551100165,-2.63539996223482,-2.28663586567238,-1.93618105942613,-1.62737634845652,-1.34861000394463,-1.00683255712193
"2007",-5.94985703589056,-6.82961993823642,-8.86586169661911,-9.24384113746546,-9.49075655946244,-9.24160106620749,-8.54015128789248,-7.92467466854288,-7.71227921463114,-7.71721234633494,-7.61353659735965,-7.4936757779089,-7.33768241156633,-7.09746401782262,-6.85981947946899,-6.60055876268266,-6.32137888198324,-6.06647015599734,-5.80653992205223,-5.52708429375525,-5.28949069618078,-5.06163312949933,-4.80122338421885,-4.58906110231234,-4.27732939337102,-3.97461490143741,-3.64951157847852,-3.3124397402688,-2.98325931044572,-2.65454775487946,-2.29260062192862,-1.9494398527276,-1.63797677420705,-1.34887489203218,-1.0237365314793
"2008",-5.95910207728204,-6.83996731090017,-8.90848947006163,-9.29102787531884,-9.49112689632948,-9.24206789549761,-8.45115007991234,-7.93930878885874,-7.70447350940513,-7.68878624404346,-7.60380423569481,-7.47360822726908,-7.3654314050739,-7.11175561780209,-6.87089172680367,-6.62905944702338,-6.37158254649396,-6.06749674249577,-5.83086557327835,-5.55949451846286,-5.30148160320124,-5.07940731086849,-4.81905403472128,-4.59128674435208,-4.30374271478175,-3.98916170799106,-3.65798337673884,-3.32578601246589,-2.9735364389411,-2.65207399323634,-2.30439297714723,-1.94409131700069,-1.62683211877173,-1.33109793272506,-0.986001611785224
"2009",-6.03689413483056,-6.92392917968077,-8.9156706012602,-9.32686272259263,-9.51975541273111,-9.31017369637157,-8.54889339964246,-7.95009830492894,-7.69031494711759,-7.68508051788081,-7.59842718881418,-7.5067358082812,-7.3603114399365,-7.13157667445477,-6.86601723892106,-6.62030701773444,-6.36104768063583,-6.10060890927629,-5.82771710841436,-5.59287457972083,-5.3259726588561,-5.08315160299214,-4.85592161809846,-4.6171110438231,-4.35543636672947,-4.04974943088097,-3.70464144364425,-3.35647579125567,-3.0181493810892,-2.68332844561349,-2.33548150623304,-1.99124484854887,-1.64749841837122,-1.35419146803776,-1.02592596884581
"2010",-6.0589944967412,-6.93829016534735,-8.93145914079886,-9.34358154391933,-9.54932544876837,-9.14479265223511,-8.56593476917418,-8.00352230658045,-7.7338409356967,-7.7022077095738,-7.60945817623598,-7.50222864873553,-7.35672872648489,-7.16199552064041,-6.90383785629353,-6.66171273441457,-6.39432978942269,-6.10720704157949,-5.85478495201147,-5.58983784671646,-5.33176721580692,-5.07380291845968,-4.85903926559578,-4.60690567428479,-4.36095693704043,-4.04615165808238,-3.70978928269004,-3.3626190237143,-3.00620682501996,-2.65316492426026,-2.31893213617249,-1.95396055268094,-1.61537879681803,-1.31493396304512,-0.976543463527492
"2011",-6.05065155330341,-6.89012155457405,-8.56871483452294,-8.91160650255158,-9.06076296465304,-8.94872708086885,-8.33224479649856,-7.8848357609735,-7.63213054822505,-7.56661240593288,-7.54176734740137,-7.43959567818568,-7.29379724257594,-7.10601660589617,-6.85820290726442,-6.60614660362521,-6.35663786552802,-6.08621551793056,-5.82017576575296,-5.59802354867608,-5.31595501085587,-5.06014093096977,-4.8542541614756,-4.57113264945212,-4.33131104888315,-4.04032380159581,-3.71056485446107,-3.348727518852,-2.99965133911507,-2.63608605432205,-2.30539985036899,-1.9477752834167,-1.60326756021863,-1.30870007231447,-0.947613966298872
"2012",-6.10988602625893,-6.99738548895552,-8.82531064218835,-9.36177899239957,-9.62805317872803,-9.182186653375,-8.64801452626033,-8.04392134039056,-7.79552717937901,-7.68650307705218,-7.67593293743895,-7.57272067093939,-7.47514911284879,-7.23046863016394,-6.99425469366571,-6.70591360218114,-6.46250152193216,-6.16533598885503,-5.90971528799627,-5.66667422566757,-5.39492080878208,-5.12747457407147,-4.86924197279459,-4.61669701622964,-4.36624097782716,-4.08184899912813,-3.75287485865687,-3.38642384040597,-3.01577367487794,-2.65327096421486,-2.30738472948962,-1.94101581170442,-1.61250598625006,-1.28501627180608,-0.9469436872617
"2013",-6.15066424406609,-7.03301580928599,-9.12969750861171,-9.38447117255266,-9.63554423130603,-9.30064451586822,-8.71406986267023,-8.09275710644847,-7.78981110920316,-7.76956659222118,-7.73900342330359,-7.58727076184719,-7.46963876401807,-7.26959428552263,-7.028145927532,-6.7442373820761,-6.46841850981125,-6.18842496989287,-5.92637996599796,-5.66820530726738,-5.43358087767445,-5.14494689833926,-4.88650734671108,-4.65099134032734,-4.37529430742229,-4.11893401448633,-3.77386106468892,-3.41740116978721,-3.03466589462406,-2.67629187260241,-2.31814553482139,-1.97005576299267,-1.62778224487706,-1.30061103630819,-0.953333008783987
"2014",-6.17678341037226,-7.05137121064235,-9.02908288885498,-9.45774717542607,-9.47157386662556,-9.23991573604517,-8.7362755436089,-8.15669483961747,-7.80981024862406,-7.77543194693593,-7.71403315249094,-7.58599942019267,-7.47173287131275,-7.30745577971632,-7.03693344790796,-6.78362333188437,-6.51392600542997,-6.23686236360207,-5.95893028342567,-5.6933060325702,-5.45203644332525,-5.17908338033784,-4.89289432795453,-4.67156698556718,-4.38990981235776,-4.12614052937097,-3.81071548753802,-3.45141954342049,-3.07084499680188,-2.70847229196859,-2.3427924372737,-1.99295094703277,-1.663695801297,-1.33517450988574,-0.975081567662777
"2015",-6.23238444069579,-7.09215850884742,-9.17428013425481,-9.30341356884018,-9.55453273161253,-9.30006818837635,-8.70816361259631,-8.19595245710177,-7.94007375313246,-7.81652861629379,-7.77682817483031,-7.67725794017588,-7.50162753885601,-7.37170663008591,-7.05964029668746,-6.83026254266035,-6.54012877374361,-6.26617606032534,-5.98208348680161,-5.72195905143671,-5.49342605389634,-5.20764128865515,-4.93339929875963,-4.66971838549724,-4.40604336562111,-4.14132088494317,-3.8388986419056,-3.48330375103376,-3.09815168387293,-2.7193344125852,-2.35534386585819,-2.00489865661608,-1.65102624995295,-1.33739713868515,-0.962507342544532
"2016",-6.21446604582413,-7.09482473679486,-9.21603009535162,-9.49928367405985,-9.61709835465355,-9.36946378628707,-8.71104022417827,-8.27388233976334,-7.91242593380646,-7.84654771035257,-7.81688964580484,-7.71509319745223,-7.54512191345307,-7.34011699296011,-7.13274463852849,-6.85757889205438,-6.56843218112483,-6.25885128032513,-6.00384513907289,-5.75867475394647,-5.48627187207356,-5.23483254867796,-4.95390376593111,-4.68677780467755,-4.44192707977182,-4.15277589691291,-3.8665931914655,-3.49488823777579,-3.12502150634203,-2.74308370960218,-2.37561866609189,-2.00980363585521,-1.66743908967864,-1.35286165159471,-0.954251811249964
"2017",-6.29520631404451,-7.16518036348522,-9.23381189471304,-9.61644642296193,-9.7014266033697,-9.26595427101742,-8.74774948706663,-8.19779787341918,-7.98164794131799,-7.92898056641182,-7.86600924864748,-7.71112295252265,-7.57888644842458,-7.41284182283141,-7.14444049356969,-6.89732819827655,-6.60388871825581,-6.29719058428491,-6.03498966500313,-5.77262077902022,-5.5279770273736,-5.26354230200755,-4.97544974197165,-4.69068694884042,-4.44539252377345,-4.14991419145825,-3.86146334577809,-3.51254890559047,-3.13975456572251,-2.74740234812619,-2.37498516943138,-2.00482070357818,-1.6679253232401,-1.33177943776947,-0.94641897477082
"2018",-6.2745109629978,-7.17725929592229,-9.15987669287685,-9.61398514472969,-9.65462461167646,-9.20219068892193,-8.71613338609624,-8.21396148666355,-7.98642606185844,-7.94984466040006,-7.8864545158524,-7.74159154214278,-7.58258084459455,-7.41214231892897,-7.17324495417869,-6.91098872450092,-6.6263158046694,-6.3130367879,-6.04271697042797,-5.78798205736502,-5.53257380102453,-5.25509021312363,-4.99195481446173,-4.70027080632826,-4.42896495909955,-4.1587497282274,-3.86264965804607,-3.52632574696902,-3.16425244553751,-2.77025880690294,-2.37996297055724,-2.01810049217385,-1.67947071991521,-1.34427614077435,-0.968817943297679
"2019",-6.27987375839504,-7.1792014243474,-9.12372596163941,-9.55571264848605,-9.60628680060461,-9.33026883538513,-8.68330700807901,-8.20097601501605,-7.94024177469966,-8.02600832332931,-7.92613345492436,-7.753439779347,-7.60433227843992,-7.42518931970492,-7.17509754846543,-6.94178996326369,-6.63974574918083,-6.33299395559284,-6.06268019688119,-5.81472607433657,-5.5274555466466,-5.27256029640383,-5.01108528877154,-4.71592023830459,-4.4421987711231,-4.18331342299786,-3.86246885634259,-3.56376553974015,-3.16949170669522,-2.79658832266964,-2.39973576574527,-2.0305413785606,-1.68461888694025,-1.36292608325944,-0.973766290054108
"2020",-6.31653892990743,-7.27324696781734,-9.43745619726639,-9.73929206969672,-9.79894543206032,-9.23623582559111,-8.58430631879608,-8.16279366445825,-7.86064319823719,-7.8908517360627,-7.87035846385796,-7.79582766480828,-7.56621484969817,-7.40573187642986,-7.17608025303689,-6.91752610322267,-6.62587246210126,-6.34015420497198,-6.06584996011027,-5.8046948981433,-5.55859700318234,-5.30451521493842,-5.02398185763067,-4.74141983305447,-4.45214821106075,-4.20718474240701,-3.88144229501903,-3.56797601994843,-3.21815817986716,-2.83847876541543,-2.44298038524238,-2.079753320348,-1.73383590243569,-1.41584722958227,-1.04226022524637
"2021",-6.35340988829317,-7.28554771169821,-9.34612458224325,-9.62767352331247,-9.78587450243138,-9.20673075956663,-8.57458634297411,-8.16381343475627,-7.87826864216213,-7.87926415006514,-7.83140961949778,-7.76905093839852,-7.55194339248834,-7.43904808928352,-7.19033069505513,-6.95261929289492,-6.66459790135505,-6.35720422088613,-6.04482543303245,-5.79173999566896,-5.5535842997727,-5.29751566645924,-5.02475967146932,-4.74154575095356,-4.44503571684149,-4.16125071354292,-3.87429526743291,-3.54879009598411,-3.19587380002771,-2.82145104520344,-2.42691741209038,-2.04510145559191,-1.69588458049261,-1.39294890797255,-1.00848438244106
"2022",-6.3719345140761,-7.27075241004088,-9.36367803666712,-9.67079451743818,-9.70683914895793,-9.30423293301361,-8.54199863174091,-8.12450686041035,-7.85131253793585,-7.91816243689366,-7.86975564897604,-7.72718223423007,-7.58033729617164,-7.36971089022474,-7.14773916220955,-6.90186728372068,-6.64538085296523,-6.32216135280087,-6.04926524550035,-5.77759356576214,-5.53804977309783,-5.25457873923659,-4.98905411255904,-4.71730223233151,-4.40362055681998,-4.11201612788149,-3.83104892151488,-3.47914471292489,-3.14321978699694,-2.74158036954176,-2.36313926427147,-1.97127333473843,-1.61530430679968,-1.296504873137,-0.920421404505889
