"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"28-30",-7.51060476541262,-7.50345463546006,-7.50437223754325,-7.55856788781529,-7.5627526263267,-7.51270944257884,-7.60649396812619,-7.56446404731257,-7.51860830114522,-7.49989355521368,-7.57900360361848,-7.58619438751848,-7.62275866005042,-7.54066347764273,-7.58295619653282,-7.56660228101966,-7.55829802257178,-7.61353659735965,-7.60380423569481,-7.59842718881418,-7.60945817623598,-7.54176734740137,-7.67593293743895,-7.73900342330359,-7.71403315249094,-7.77682817483031,-7.81688964580484,-7.86600924864748,-7.8864545158524,-7.92613345492436,-7.87035846385796,-7.83140961949778,-7.86975564897604
"31-33",-7.39043242553056,-7.41686037415348,-7.42198357424305,-7.46815317191106,-7.40423421366708,-7.38868585508984,-7.41964004315339,-7.43058897615469,-7.38257607367842,-7.3664756846368,-7.38748877569851,-7.40730902122713,-7.4505976704844,-7.42149899798287,-7.44008077013433,-7.45763275733202,-7.49737195510431,-7.4936757779089,-7.47360822726908,-7.5067358082812,-7.50222864873553,-7.43959567818568,-7.57272067093939,-7.58727076184719,-7.58599942019267,-7.67725794017588,-7.71509319745223,-7.71112295252265,-7.74159154214278,-7.753439779347,-7.79582766480828,-7.76905093839852,-7.72718223423007
"34-36",-7.21494405461044,-7.25227533397578,-7.26527175517446,-7.259106384099,-7.28209355529415,-7.2329232955195,-7.27063416621762,-7.26931339382291,-7.2146709346502,-7.18969683719971,-7.21704739147375,-7.26300178056192,-7.25914172488917,-7.23561195485609,-7.25365731197621,-7.23940552464197,-7.30890122345532,-7.33768241156633,-7.3654314050739,-7.3603114399365,-7.35672872648489,-7.29379724257594,-7.47514911284879,-7.46963876401807,-7.47173287131275,-7.50162753885601,-7.54512191345307,-7.57888644842458,-7.58258084459455,-7.60433227843992,-7.56621484969817,-7.55194339248834,-7.58033729617164
"37-39",-6.97464928405105,-6.99998889921828,-7.00472518591025,-7.01668235429847,-7.05732923261196,-7.03611030073998,-7.05781198344784,-7.06397358723363,-7.00336466371485,-7.03659269351618,-7.03049540361087,-7.02461778428232,-7.04532960394887,-7.04123295115548,-7.04010921860676,-7.05881721973268,-7.10538370220398,-7.09746401782262,-7.11175561780209,-7.13157667445477,-7.16199552064041,-7.10601660589617,-7.23046863016394,-7.26959428552263,-7.30745577971632,-7.37170663008591,-7.34011699296011,-7.41284182283141,-7.41214231892897,-7.42518931970492,-7.40573187642986,-7.43904808928352,-7.36971089022474
"40-42",-6.70001701223718,-6.74617351423538,-6.73234369354503,-6.75286075536694,-6.78402069488703,-6.77874850015049,-6.80459812354953,-6.83206443861341,-6.76480631612916,-6.76295324424918,-6.79023158649664,-6.79519893185067,-6.80221244827344,-6.78826024118367,-6.81334736690895,-6.80925229557651,-6.8450001162885,-6.85981947946899,-6.87089172680367,-6.86601723892106,-6.90383785629353,-6.85820290726442,-6.99425469366571,-7.028145927532,-7.03693344790796,-7.05964029668746,-7.13274463852849,-7.14444049356969,-7.17324495417869,-7.17509754846543,-7.17608025303689,-7.19033069505513,-7.14773916220955
"43-45",-6.45478306920481,-6.41051155002481,-6.43519102630672,-6.4344071805895,-6.47054474947778,-6.47201107644542,-6.49262780917361,-6.52348253114243,-6.5042349479596,-6.4871423965317,-6.51116872609628,-6.54348662095675,-6.55136492328944,-6.53058252692817,-6.56330265549249,-6.56651230983008,-6.58256272140028,-6.60055876268266,-6.62905944702338,-6.62030701773444,-6.66171273441457,-6.60614660362521,-6.70591360218114,-6.7442373820761,-6.78362333188437,-6.83026254266035,-6.85757889205438,-6.89732819827655,-6.91098872450092,-6.94178996326369,-6.91752610322267,-6.95261929289492,-6.90186728372068
"46-48",-6.13478296488337,-6.13682545084321,-6.1627654793656,-6.15318601926943,-6.17596053630819,-6.14522380608908,-6.18913551460025,-6.20482623749068,-6.18663988636772,-6.17720146851012,-6.2340552125274,-6.23640052231418,-6.27354298552492,-6.25810937609447,-6.27207635436601,-6.28058655255984,-6.30043520012788,-6.32137888198324,-6.37158254649396,-6.36104768063583,-6.39432978942269,-6.35663786552802,-6.46250152193216,-6.46841850981125,-6.51392600542997,-6.54012877374361,-6.56843218112483,-6.60388871825581,-6.6263158046694,-6.63974574918083,-6.62587246210126,-6.66459790135505,-6.64538085296523
"49-51",-5.85211943298547,-5.86646371232238,-5.85157845974519,-5.8571278259061,-5.89233533808921,-5.89621208249746,-5.91299245358067,-5.90801119813217,-5.88119285756607,-5.88536024293694,-5.92239628034314,-5.95158725258536,-5.97281823675089,-5.9819075615899,-6.00964956904143,-6.01832827366746,-6.04107427698847,-6.06647015599734,-6.06749674249577,-6.10060890927629,-6.10720704157949,-6.08621551793056,-6.16533598885503,-6.18842496989287,-6.23686236360207,-6.26617606032534,-6.25885128032513,-6.29719058428491,-6.3130367879,-6.33299395559284,-6.34015420497198,-6.35720422088613,-6.32216135280087
"52-54",-5.58985630264443,-5.59918200513584,-5.62033823073647,-5.61895930750009,-5.6330082212509,-5.59046516886356,-5.62460662915045,-5.63445037902008,-5.62974824198968,-5.64709031473215,-5.64037565567539,-5.67241046709078,-5.68796376054428,-5.68801901152447,-5.71772736362213,-5.732089953421,-5.76993534101403,-5.80653992205223,-5.83086557327835,-5.82771710841436,-5.85478495201147,-5.82017576575296,-5.90971528799627,-5.92637996599796,-5.95893028342567,-5.98208348680161,-6.00384513907289,-6.03498966500313,-6.04271697042797,-6.06268019688119,-6.06584996011027,-6.04482543303245,-6.04926524550035
"55-57",-5.28033948530198,-5.30606405061871,-5.31196665873175,-5.34470767473504,-5.39143574366487,-5.37309566052864,-5.39955154387802,-5.40774952831728,-5.38184866847185,-5.36197537479884,-5.40004742928831,-5.43111539758032,-5.45981428163041,-5.43607449029234,-5.46408756854593,-5.46578937134415,-5.51429398144088,-5.52708429375525,-5.55949451846286,-5.59287457972083,-5.58983784671646,-5.59802354867608,-5.66667422566757,-5.66820530726738,-5.6933060325702,-5.72195905143671,-5.75867475394647,-5.77262077902022,-5.78798205736502,-5.81472607433657,-5.8046948981433,-5.79173999566896,-5.77759356576214
"58-60",-5.00103434093189,-5.00654993817021,-5.01798578826453,-5.03453968001151,-5.10093026402259,-5.08752096499689,-5.15897116005602,-5.1669951508913,-5.17398806332406,-5.14917426462201,-5.18757569605637,-5.19108776501192,-5.20476885082065,-5.22539920856578,-5.2440315119411,-5.24531870495754,-5.26461996557103,-5.28949069618078,-5.30148160320124,-5.3259726588561,-5.33176721580692,-5.31595501085587,-5.39492080878208,-5.43358087767445,-5.45203644332525,-5.49342605389634,-5.48627187207356,-5.5279770273736,-5.53257380102453,-5.5274555466466,-5.55859700318234,-5.5535842997727,-5.53804977309783
"61-63",-4.7456723206685,-4.75060420757108,-4.74369076620633,-4.74507247601022,-4.78203597702568,-4.78116220783117,-4.82671024603755,-4.87820513177537,-4.88479024163273,-4.9072297371402,-4.94872286901213,-4.98967396366533,-5.00210600601822,-5.00488430081146,-5.00571304923349,-5.00057135608746,-5.03911251640089,-5.06163312949933,-5.07940731086849,-5.08315160299214,-5.07380291845968,-5.06014093096977,-5.12747457407147,-5.14494689833926,-5.17908338033784,-5.20764128865515,-5.23483254867796,-5.26354230200755,-5.25509021312363,-5.27256029640383,-5.30451521493842,-5.29751566645924,-5.25457873923659
"64-66",-4.52016725031505,-4.52628517326553,-4.50083776986322,-4.49944641843388,-4.51984939909297,-4.51688144724883,-4.54634444981734,-4.57843256256916,-4.59438338003611,-4.61175055096337,-4.65851891317888,-4.71095407368819,-4.74678559461295,-4.76130186590302,-4.79502087029345,-4.77933753414395,-4.8091743469748,-4.80122338421885,-4.81905403472128,-4.85592161809846,-4.85903926559578,-4.8542541614756,-4.86924197279459,-4.88650734671108,-4.89289432795453,-4.93339929875963,-4.95390376593111,-4.97544974197165,-4.99195481446173,-5.01108528877154,-5.02398185763067,-5.02475967146932,-4.98905411255904
"67-69",-4.2799742015981,-4.27966789504546,-4.25984207075217,-4.2531272984105,-4.28590834622617,-4.26226220685826,-4.30226382228808,-4.30931531415383,-4.32557320518507,-4.32014688866711,-4.37592752987829,-4.41212954461374,-4.45390404986228,-4.48739949471532,-4.50645851098706,-4.53364270251162,-4.55939855501342,-4.58906110231234,-4.59128674435208,-4.6171110438231,-4.60690567428479,-4.57113264945212,-4.61669701622964,-4.65099134032734,-4.67156698556718,-4.66971838549724,-4.68677780467755,-4.69068694884042,-4.70027080632826,-4.71592023830459,-4.74141983305447,-4.74154575095356,-4.71730223233151
"70-72",-3.97429659965821,-3.99613412420123,-4.00049174492331,-4.0008223177392,-4.03173701018048,-3.99640583633317,-4.04396059881855,-4.06353355308979,-4.05391634352446,-4.05571623633293,-4.09373597434366,-4.12137470129521,-4.15492121130094,-4.17203468402102,-4.20999848210324,-4.21207634158555,-4.27360816677281,-4.27732939337102,-4.30374271478175,-4.35543636672947,-4.36095693704043,-4.33131104888315,-4.36624097782716,-4.37529430742229,-4.38990981235776,-4.40604336562111,-4.44192707977182,-4.44539252377345,-4.42896495909955,-4.4421987711231,-4.45214821106075,-4.44503571684149,-4.40362055681998
"73-75",-3.61344109134521,-3.65174404241763,-3.66630508385182,-3.68608376675735,-3.72717868610491,-3.71589145622996,-3.76707858565215,-3.79073944614357,-3.79363777162168,-3.77748537574238,-3.82360657498387,-3.84655285767608,-3.87031975953623,-3.87436321592389,-3.90924630920871,-3.89580621233918,-3.94405261133646,-3.97461490143741,-3.98916170799106,-4.04974943088097,-4.04615165808238,-4.04032380159581,-4.08184899912813,-4.11893401448633,-4.12614052937097,-4.14132088494317,-4.15277589691291,-4.14991419145825,-4.1587497282274,-4.18331342299786,-4.20718474240701,-4.16125071354292,-4.11201612788149
"76-78",-3.28206370227505,-3.30269000034773,-3.3098256763334,-3.32104857784885,-3.38494502487914,-3.3648051833334,-3.44458728034386,-3.46819103405466,-3.49963748343915,-3.48948847713007,-3.54171058192232,-3.55654838090093,-3.57632372078244,-3.58814606726234,-3.60473440218182,-3.59480915570957,-3.61744056160969,-3.64951157847852,-3.65798337673884,-3.70464144364425,-3.70978928269004,-3.71056485446107,-3.75287485865687,-3.77386106468892,-3.81071548753802,-3.8388986419056,-3.8665931914655,-3.86146334577809,-3.86264965804607,-3.86246885634259,-3.88144229501903,-3.87429526743291,-3.83104892151488
"79-81",-2.90299316798295,-2.94412804023831,-2.96101435110576,-2.97480041201054,-3.01440848882778,-3.00965983962515,-3.079566812903,-3.11431896322319,-3.14737315589549,-3.14280127502387,-3.20528058705654,-3.25632429057375,-3.27188443932042,-3.28121505064237,-3.28924082344728,-3.27293948173398,-3.30012498008412,-3.3124397402688,-3.32578601246589,-3.35647579125567,-3.3626190237143,-3.348727518852,-3.38642384040597,-3.41740116978721,-3.45141954342049,-3.48330375103376,-3.49488823777579,-3.51254890559047,-3.52632574696902,-3.56376553974015,-3.56797601994843,-3.54879009598411,-3.47914471292489
"82-84",-2.53380133829148,-2.574013911458,-2.59078872533562,-2.6001183681104,-2.66068640308392,-2.64840685103975,-2.74330654265618,-2.75663215124495,-2.78141151896573,-2.77088906700325,-2.84616892264639,-2.89014690729115,-2.93218989998972,-2.93362337459425,-2.97546880419827,-2.94573871622264,-2.97738551100165,-2.98325931044572,-2.9735364389411,-3.0181493810892,-3.00620682501996,-2.99965133911507,-3.01577367487794,-3.03466589462406,-3.07084499680188,-3.09815168387293,-3.12502150634203,-3.13975456572251,-3.16425244553751,-3.16949170669522,-3.21815817986716,-3.19587380002771,-3.14321978699694
"85-87",-2.19048500198676,-2.22417405633443,-2.23665127414902,-2.26256003774627,-2.30778210632534,-2.30523891115886,-2.38911167839629,-2.41498418789562,-2.44842737456268,-2.42838550868065,-2.50277304972518,-2.53773981663368,-2.56922911529583,-2.58097609265403,-2.61415689007894,-2.60129522667541,-2.63539996223482,-2.65454775487946,-2.65207399323634,-2.68332844561349,-2.65316492426026,-2.63608605432205,-2.65327096421486,-2.67629187260241,-2.70847229196859,-2.7193344125852,-2.74308370960218,-2.74740234812619,-2.77025880690294,-2.79658832266964,-2.83847876541543,-2.82145104520344,-2.74158036954176
"88-90",-1.86204910070815,-1.90070781926982,-1.91931901433032,-1.94250145481425,-1.97470639770929,-1.96973831150533,-2.05622892234093,-2.07670105879306,-2.11045702607364,-2.09379000271629,-2.1722537413097,-2.20329443297236,-2.23672593564979,-2.23523303367258,-2.26793702494963,-2.23630894912996,-2.28663586567238,-2.29260062192862,-2.30439297714723,-2.33548150623304,-2.31893213617249,-2.30539985036899,-2.30738472948962,-2.31814553482139,-2.3427924372737,-2.35534386585819,-2.37561866609189,-2.37498516943138,-2.37996297055724,-2.39973576574527,-2.44298038524238,-2.42691741209038,-2.36313926427147
"91-93",-1.565804806976,-1.60020549774128,-1.61146114604953,-1.62922251341479,-1.67095414188694,-1.65292763032142,-1.75368490584769,-1.75917701883427,-1.79815074893232,-1.76305979470542,-1.85127985235849,-1.88322645813391,-1.90768062166809,-1.91320259478552,-1.93949121670207,-1.9139929082527,-1.93618105942613,-1.9494398527276,-1.94409131700069,-1.99124484854887,-1.95396055268094,-1.9477752834167,-1.94101581170442,-1.97005576299267,-1.99295094703277,-2.00489865661608,-2.00980363585521,-2.00482070357818,-2.01810049217385,-2.0305413785606,-2.079753320348,-2.04510145559191,-1.97127333473843
"94-96",-1.29956213224903,-1.34125794116081,-1.35920485228743,-1.35297734999352,-1.38712228996531,-1.37554984900706,-1.4630363344241,-1.47342847001397,-1.49967641842406,-1.48026505412404,-1.55097108620341,-1.58180199199687,-1.61998272883508,-1.60147157135468,-1.63414183943885,-1.59312722580723,-1.62737634845652,-1.63797677420705,-1.62683211877173,-1.64749841837122,-1.61537879681803,-1.60326756021863,-1.61250598625006,-1.62778224487706,-1.663695801297,-1.65102624995295,-1.66743908967864,-1.6679253232401,-1.67947071991521,-1.68461888694025,-1.73383590243569,-1.69588458049261,-1.61530430679968
"97-99",-1.05751463541162,-1.11214034643551,-1.12818199779369,-1.10992977156964,-1.1582305751501,-1.15457657053039,-1.21097689126738,-1.22857980732947,-1.25303731691959,-1.20922986005021,-1.29214460234619,-1.31407016752146,-1.34254552214354,-1.3361529019533,-1.3483799786874,-1.30447292057592,-1.34861000394463,-1.34887489203218,-1.33109793272506,-1.35419146803776,-1.31493396304512,-1.30870007231447,-1.28501627180608,-1.30061103630819,-1.33517450988574,-1.33739713868515,-1.35286165159471,-1.33177943776947,-1.34427614077435,-1.36292608325944,-1.41584722958227,-1.39294890797255,-1.296504873137
"100+",-0.803921586061852,-0.85358302828231,-0.907519684094029,-0.872066148602855,-0.90093534379096,-0.855054662506758,-0.973691145522673,-0.95821391626941,-1.00804949741817,-0.944115995766953,-1.01029812005439,-1.01064783280312,-1.03179305129356,-1.04036249111431,-1.02898075191329,-0.9965536098315,-1.00683255712193,-1.0237365314793,-0.986001611785224,-1.02592596884581,-0.976543463527492,-0.947613966298872,-0.9469436872617,-0.953333008783987,-0.975081567662777,-0.962507342544532,-0.954251811249964,-0.94641897477082,-0.968817943297679,-0.973766290054108,-1.04226022524637,-1.00848438244106,-0.920421404505889
