"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"18",-5.5187732827912,-5.34351454323459,-5.49648541845885,-5.58224250512211,-5.48994650480281,-5.63421536807378,-5.52327756697047,-5.53022042053283,-5.52559068361812,-5.60102103366864,-5.59742310801615,-5.5917331788476,-5.56722217380904,-5.63290517981075,-5.61018831182171,-5.64132752890504,-5.68237525305736,-5.73342655053344,-5.56578905171179,-5.72373164268895,-5.68069847225891,-5.65408700611275,-5.65313403814481,-5.66735990342242,-5.77143624314192,-5.66636964473944,-5.49068198649467,-5.587886551811,-5.68436374456854,-5.53904206447481,-5.51474973829101,-5.56807700954087,-5.66421038093661,-5.62133374070975,-5.52280181646509,-5.56847260196532,-5.61060502204404,-5.49719400562551,-5.46417244303615,-5.53298835419274,-5.52907986849548,-5.52857868920259,-5.61767863435344,-5.63801580175585,-5.55132880536572,-5.48684936829473
"19",-5.52761732973616,-5.35128785611512,-5.51047028672495,-5.61163182637355,-5.51291255941229,-5.63749907046287,-5.53772242234107,-5.529229767377,-5.54488308780674,-5.61290620101089,-5.61014186963471,-5.60020655043484,-5.58582878689505,-5.63934395851896,-5.63547683926189,-5.64202813826647,-5.6873797380911,-5.74185980172455,-5.56676690881864,-5.72786105080554,-5.69108739921166,-5.63568700571449,-5.65203383395452,-5.66749876257895,-5.77825820673301,-5.68303764431393,-5.49507948822407,-5.60461293359462,-5.68814586611918,-5.54319413254356,-5.53794859567975,-5.56879495519911,-5.64512260523171,-5.61737865719349,-5.5480628833573,-5.5742131707492,-5.62285569634983,-5.50875942443472,-5.46245525290836,-5.54315197712419,-5.5344790370698,-5.53962616140315,-5.62530730261726,-5.64070345557378,-5.54407213555859,-5.49211330296772
"20",-5.54821180349401,-5.37207370822331,-5.51540678118701,-5.64199006438197,-5.52726774489603,-5.65482232493513,-5.56527305549128,-5.5456357895036,-5.56060463397988,-5.62270906756662,-5.63679741748006,-5.61963068238449,-5.62132407174072,-5.68057535510839,-5.65391146623799,-5.67094023385222,-5.69807728027184,-5.75790661421296,-5.59567139526945,-5.76548980739262,-5.72243638198387,-5.67726275176111,-5.70510735191862,-5.70744718149895,-5.81914955608168,-5.70882114747442,-5.52495827649752,-5.64304256536797,-5.72567385187246,-5.55751694392442,-5.56144472209548,-5.59725049542984,-5.69017103207665,-5.65129059885442,-5.56626348059263,-5.60133645201006,-5.63864241572877,-5.52985984027207,-5.47997114635468,-5.58279125738886,-5.57520853743281,-5.56527305549128,-5.66650836644802,-5.67142516470826,-5.56651320161893,-5.53565619576798
"21",-5.54772917738253,-5.37102032619426,-5.52664055907325,-5.62960168372526,-5.53070476083676,-5.66192485657919,-5.54772917738253,-5.55235320880478,-5.55102877014474,-5.61170843459912,-5.6294665955452,-5.62242002284358,-5.60698340380046,-5.6679038786213,-5.64034017915445,-5.66938394649379,-5.69847408909873,-5.76200498385662,-5.57263185131515,-5.76373154345996,-5.72638397514626,-5.65625882646536,-5.69297162306812,-5.69308143555598,-5.81470844878691,-5.72113974427806,-5.5222724971036,-5.6286272296556,-5.70615929706201,-5.56400183680363,-5.56259936869952,-5.60378059085492,-5.66799794689323,-5.66360644872874,-5.56357541396959,-5.59083645184087,-5.63936224176441,-5.52653250665516,-5.47782448758447,-5.57881596868104,-5.57370071267161,-5.5592432659587,-5.66742933059045,-5.67296281714141,-5.56733340509368,-5.52760726803277
"22",-5.55221269391416,-5.37236657119783,-5.16018370562564,-5.09767058046262,-5.53998773435125,-5.64745223699282,-5.46514202298642,-5.54344838017318,-5.54553975010432,-5.61307057804286,-5.63184374646896,-5.62836846288649,-5.62603146784736,-5.66210324766471,-5.63952821266643,-5.67002328311324,-5.7016647186852,-5.75956266221588,-5.57935622078534,-5.76186825954826,-5.71872810627551,-5.66371740653247,-5.7081218762553,-5.69007337524858,-5.82488965416191,-5.71597601462269,-5.52775065686453,-5.64850482835123,-5.72038147903657,-5.5642001136222,-5.57915226780506,-5.59438785694094,-5.68168248831134,-5.6613438675585,-5.58138875124214,-5.59839190944987,-5.64445799177187,-5.52229626666893,-5.48498435105223,-5.58601410577404,-5.57103595246191,-5.56357932527934,-5.65973209697733,-5.65280185414603,-5.55243443283811,-5.51917228877285
"23",-5.56145773210408,-5.35989068823792,-5.55299157543331,-5.67563972308502,-5.5507610035738,-5.66936510603696,-5.55858922163166,-5.56330817737041,-5.55603812877872,-5.62603563123247,-5.64715028257998,-5.63227516701504,-5.63080435483101,-5.68856829940021,-5.64053165725332,-5.660040746709,-5.70382997578436,-5.77633381283963,-5.58398546840076,-5.76423654851677,-5.72677069055617,-5.67196554429448,-5.72146947147759,-5.71648632797527,-5.83454627203656,-5.71897479576474,-5.54245730740913,-5.66042705197681,-5.72428573734004,-5.57959995941925,-5.58812569788697,-5.60571654995262,-5.68002883935242,-5.66477572669953,-5.58908017961173,-5.59305359448723,-5.66148045591232,-5.52727025945849,-5.48651012516583,-5.60316730034224,-5.58330174770993,-5.57793868104448,-5.65610435715295,-5.66316130029896,-5.57235823802636,-5.52794439022011
"24",-5.56967474814396,-5.38584451288745,-5.59729229730648,-5.71559648608366,-5.56862459298242,-5.67451157793314,-5.57753932688212,-5.57826806987244,-5.59108032486731,-5.63326296906831,-5.66693187569819,-5.6572520045305,-5.65311264958526,-5.71562532519557,-5.64865386948473,-5.69142958671153,-5.72421224856771,-5.79709584940336,-5.61304044023086,-5.79177305818483,-5.75296904238314,-5.69618193209739,-5.74130990222703,-5.72516955653785,-5.86232051488922,-5.74888078710446,-5.55878902312825,-5.68158418982865,-5.73424580586075,-5.58260653474805,-5.59184180576988,-5.62057846148635,-5.69971027731798,-5.68943588094928,-5.60367880201781,-5.59153741197046,-5.67204982334537,-5.53967198735873,-5.50083754903519,-5.62601759002218,-5.60210307600365,-5.57485773890098,-5.69632485198062,-5.69745404149754,-5.60012135214931,-5.5485649355543
"25",-5.5880468668839,-5.40768367245908,-5.60808555146492,-5.72231260192407,-5.57934562480095,-5.6920060892836,-5.60374258847705,-5.60191475170323,-5.60640897042506,-5.66777219790488,-5.68491410717426,-5.68272328422508,-5.68022074517559,-5.7316265478862,-5.66567488079039,-5.71395706065267,-5.74133326291053,-5.82027134810187,-5.60815098284175,-5.80370281493875,-5.77730846234958,-5.73100825550981,-5.77614351205092,-5.75654105257383,-5.89373729078805,-5.77565180060308,-5.59050557640441,-5.71784387438479,-5.77055869758199,-5.61203271654664,-5.62189608299758,-5.65554389115085,-5.73025017428178,-5.7141752933927,-5.65996608780682,-5.62715204372116,-5.69050402477386,-5.55764524550329,-5.53177644038978,-5.66266164479168,-5.6257581101599,-5.60140008922918,-5.71161406163322,-5.71382826506549,-5.61336104351582,-5.55799135306064
"26",-5.60338163789758,-5.42510809997578,-5.62205088625263,-5.7512735330291,-5.61126664997356,-5.71280606506598,-5.59830011642148,-5.61153060307623,-5.6470113858169,-5.69151107718719,-5.7031641658485,-5.68278203561126,-5.71085693977826,-5.75292019921775,-5.68370047462351,-5.72450164184678,-5.75849423693174,-5.83220692991258,-5.63929754870483,-5.83044494103404,-5.7935354245065,-5.73581353541195,-5.78719071438463,-5.7570187079593,-5.91277537042899,-5.8066078731075,-5.60305201116634,-5.7326558268723,-5.80044096302013,-5.639827873967,-5.63256009038097,-5.66072011163666,-5.7399325869333,-5.72964504638193,-5.67256582410393,-5.65471949056265,-5.70538826324487,-5.57381530132153,-5.55414424635596,-5.67822438304233,-5.64961820546365,-5.63487740702389,-5.72383417296799,-5.74120245011125,-5.615588921712,-5.5800717094217
"27",-5.61217505068997,-5.43909782743712,-5.62425944045107,-5.7719724542614,-5.61482287169184,-5.72008260286972,-5.6228999658682,-5.62741188558036,-5.63861149731123,-5.69332336236317,-5.72533813762192,-5.70915136137008,-5.73082946912978,-5.77320007918661,-5.68961333274201,-5.73889579470947,-5.77181990986065,-5.83177722282296,-5.66208166640588,-5.83281087811423,-5.80196051283801,-5.77204311429034,-5.80768571931605,-5.78618032851057,-5.94407154899683,-5.8283478962812,-5.62712703576724,-5.76705300004028,-5.81835192939934,-5.66193348767328,-5.64435480419443,-5.67816005057211,-5.7651372692339,-5.75270752292208,-5.6913184740365,-5.68194662164738,-5.71086751437943,-5.58438074978436,-5.55373104241845,-5.69893374874975,-5.67367285326959,-5.64635826281034,-5.72523085546207,-5.75429028814098,-5.62545292590947,-5.58641419166448
